bank_reference,value_date,narration,amount
RATN27228533869,2027-08-16,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,16869.71
RATN27229533875,2027-08-17,NEFT-CR-RATN0000088-CLG,10307.42
RATN27230533879,2027-08-18,NEFT-CR-RATN0000088-RAZORPAY,75350.13
RATN27237533919,2027-08-25,NEFT CR RATN27237533919 RAZORPAYSOFTWAREP,36830.68
RATN27244533943,2027-09-01,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27244533943,46324.31
RATN27251533982,2027-09-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,59996.86
RATN27259534017,2027-09-16,RTGS-CR-RATN27259534017-RAZORPAYSOFTWAREP,18763.58
,2027-09-22,NEFT-CR-RATN0000088-RAZORPAY SOFT,28578.67
RATN27273534051,2027-09-30,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,92225.91
RATN27280534059,2027-10-07,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27280534059,54817.27
RATN27288534076,2027-10-15,IMPS/RATN27288534076/RAZORPAY SOFTWARE PRIVATE LIMITED,19088.71
RATN27293534098,2027-10-20,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,42336.61
RATN27301534136,2027-10-28,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,85019.74
RATN27307534143,2027-11-03,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,103394.89
RATN27314534153,2027-11-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27314534153,64316.72
RATN27326534154,2027-11-22,NEFT CR RATN27326534154 RAZORPAYSOFTWAREP,119277.69
RATN27329534179,2027-11-25,IMPS/RATN27329534179/RAZORPAYSOFTWAREP,60901.35
RATN27333534197,2027-11-29,NEFT RET RATN27333534197 - ACCOUNT CLOSED,-6062.96
RATN27334534232,2027-11-30,CHG:NEFT OUTWARD RATN27334534232,-5746.21
RATN27336534243,2027-12-02,NEFT CR RATN27336534243 RAZORPAY SOFTWARE,8972.74
RATN27343534271,2027-12-09,RTGS-CR-RATN********-RAZORPAY SOFTWARE,165939.19
RATN27351534308,2027-12-17,RTGS-CR-RATN27351534308-RAZORPAYSOFTWAREP,18180.20
RATN27361534340,2027-12-27,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27361534340,27387.04
RATN28003534366,2028-01-03,RTGS-CR-RATN28003534366-RAZORPAYSOFTWAREP,28018.77
